country,ticker,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
USA,NVDA,17/8/21,196.7576786,197.6072708,192.5796312,194.488739,20458500,0,0
USA,NVDA,18/8/21,194.9085482,196.2479161,189.9108932,190.3106995,28591300,0,0
USA,NVDA,19/8/21,194.8485784,204.8538784,187.5320041,197.887146,76655500,0,0
USA,NVDA,20/8/21,199.8162325,208.5521231,199.2365027,208.0623627,67574100,0,0
USA,NVDA,23/8/21,209.6116687,219.866852,209.4017604,219.4770355,57580700,0,0
USA,NVDA,24/8/21,217.427983,219.4870145,215.2490127,217.8277893,29729900,0,0
USA,NVDA,25/8/21,217.2680407,224.5946045,217.1181172,222.0258179,34770100,0,0
USA,NVDA,26/8/21,221.8958805,223.2952178,217.7977974,220.5764923,23794000,0,0
USA,NVDA,27/8/21,221.7359457,227.1134272,221.5660273,226.25383,30472200,0,0
USA,NVDA,30/8/21,228.1929222,230.3219128,225.4042223,226.7735901,26258000,0,0
USA,NVDA,31/8/21,226.8835529,226.8835529,221.1352363,223.7844696,25985000,0.04,0
USA,NVDA,1/9/21,224.7841882,226.9035628,223.5045641,224.3443146,20176700,0,0
USA,NVDA,2/9/21,225.1140685,225.8638489,222.8847256,223.8944397,18783400,0,0
USA,NVDA,3/9/21,223.1846522,229.792718,221.9350181,228.3631287,28053200,0,0
USA,NVDA,7/9/21,228.263156,228.9229664,225.1540659,226.5536499,19810700,0,0
USA,NVDA,8/9/21,225.0640963,226.0338136,219.7056649,223.3246002,25443400,0,0
USA,NVDA,9/9/21,223.0546737,225.3140219,221.2452061,221.7050781,19685600,0,0
USA,NVDA,10/9/21,223.4145804,226.1937654,222.6348099,224.7142029,24837600,0,0
USA,NVDA,13/9/21,226.7735891,229.5727724,218.5160127,221.4551544,29750000,0,0
USA,NVDA,14/9/21,222.6847941,224.0344051,220.795348,222.3548889,19975500,0,0
USA,NVDA,15/9/21,223.0246908,223.6045229,219.5957022,223.3446045,16653800,0,0
USA,NVDA,16/9/21,221.7650653,222.7047926,219.2058171,222.3548889,15603300,0,0
USA,NVDA,17/9/21,222.9347115,223.1446567,218.2360906,218.9358826,29450300,0,0
USA,NVDA,20/9/21,211.3980967,214.2672516,206.5595022,211.0681915,34944000,0,0
USA,NVDA,21/9/21,214.1073028,214.1872812,209.4386717,212.3978119,20468800,0,0
USA,NVDA,22/9/21,213.5974477,219.535711,211.8979484,219.3457642,26872600,0,0
USA,NVDA,23/9/21,221.3351688,225.2840245,218.8359008,224.7541809,24855500,0,0
USA,NVDA,24/9/21,220.6353929,221.4251702,218.5460084,220.7453613,21765500,0,0
USA,NVDA,27/9/21,217.0364442,217.926183,213.1875653,216.5365906,24521500,0,0
USA,NVDA,28/9/21,212.0778992,214.1273021,206.4495424,206.9294128,34306900,0,0
USA,NVDA,29/9/21,209.3386815,210.1084603,204.6100707,205.1099243,21839400,0,0
USA,NVDA,30/9/21,207.6191867,210.5983252,206.8194332,207.09935,22100900,0,0
USA,NVDA,1/10/21,207.4392466,208.5289238,201.9708469,207.3592682,24097800,0,0
USA,NVDA,4/10/21,204.9799633,205.3598569,195.4927515,197.2622375,34563500,0,0
USA,NVDA,5/10/21,199.4415913,206.4195435,198.4818657,204.450119,27928200,0,0
USA,NVDA,6/10/21,201.1410872,207.1393305,200.7412105,206.9393921,29720200,0,0
USA,NVDA,7/10/21,210.8582419,213.1575715,209.6585963,210.6882935,25691900,0,0
USA,NVDA,8/10/21,210.9482146,211.9979102,207.6891746,208.2490082,15125800,0,0
USA,NVDA,11/10/21,205.6897739,210.5683503,205.0499618,206.8894196,16338800,0,0
USA,NVDA,12/10/21,208.2190228,210.5083609,205.2199011,206.6494904,16213400,0,0
USA,NVDA,13/10/21,209.1187444,209.8385348,207.0693568,209.3286896,18065200,0,0
USA,NVDA,14/10/21,212.817686,217.486317,211.1581683,217.396347,24358900,0,0
USA,NVDA,15/10/21,218.0361477,219.2457849,216.5565701,218.5559845,22699400,0,0
USA,NVDA,18/10/21,217.4263269,222.8447382,216.3766313,222.1549377,18949400,0,0
USA,NVDA,19/10/21,222.6947889,223.7244862,220.3054891,222.8347473,16147300,0,0
USA,NVDA,20/10/21,222.9846991,224.2643231,219.7556491,220.9652863,14627600,0,0
USA,NVDA,21/10/21,220.9053213,227.0435235,220.7653629,226.8535767,18759000,0,0
USA,NVDA,22/10/21,228.1631834,231.2322921,225.5439553,227.1934662,24938400,0,0
USA,NVDA,25/10/21,229.6627506,233.4816398,227.633346,231.5921936,23023500,0,0
USA,NVDA,26/10/21,239.8197734,252.5160525,239.1699698,247.097641,48589800,0,0
USA,NVDA,27/10/21,244.6683592,250.8265443,242.7489231,244.4384155,24599000,0,0
USA,NVDA,28/10/21,248.7071699,249.4269603,245.1582061,249.3369904,23420400,0,0
USA,NVDA,29/10/21,249.936807,257.0147363,249.9268155,255.5951538,29250300,0,0
USA,NVDA,1/11/21,256.4148889,258.8641837,252.1961385,258.1943665,26574000,0,0
USA,NVDA,2/11/21,258.1443955,266.7018867,257.9244587,263.9327087,29411200,0,0
USA,NVDA,3/11/21,266.6219205,267.7615709,262.2731881,265.9021301,23991000,0,0
USA,NVDA,4/11/21,272.210289,313.5581652,271.1005981,297.92276,115363100,0,0
